country,area_square_kms
Russia,"17,098,242"
Canada,"9,984,670"
China,"9,706,961"
United States,"9,372,610"
Brazil,"8,515,767"
Australia,"7,692,024"
India,"3,287,590"
Argentina,"2,780,400"
Kazakhstan,"2,724,900"
Algeria,"2,381,741"
DR Congo,"2,344,858"
Greenland,"2,166,086"
Saudi Arabia,"2,149,690"
Mexico,"1,964,375"
Indonesia,"1,904,569"
Sudan,"1,886,068"
Libya,"1,759,540"
Iran,"1,648,195"
Mongolia,"1,564,110"
Peru,"1,285,216"
Chad,"1,284,000"
Niger,"1,267,000"
Angola,"1,246,700"
Mali,"1,240,192"
South Africa,"1,221,037"
Colombia,"1,141,748"
Ethiopia,"1,104,300"
Bolivia,"1,098,581"
Mauritania,"1,030,700"
Egypt,"1,002,450"
Tanzania,"945,087"
Nigeria,"923,768"
Venezuela,"916,445"
Pakistan,"881,912"
Namibia,"825,615"
Mozambique,"801,590"
Turkey,"783,562"
Chile,"756,102"
Zambia,"752,612"
Myanmar,"676,578"
Afghanistan,"652,230"
Somalia,"637,657"
Central African Republic,"622,984"
South Sudan,"619,745"
Ukraine,"603,500"
Madagascar,"587,041"
Botswana,"582,000"
Kenya,"580,367"
France,"551,695"
Yemen,"527,968"
Thailand,"513,120"
Spain,"505,992"
Turkmenistan,"488,100"
Cameroon,"475,442"
Papua New Guinea,"462,840"
Sweden,"450,295"
Uzbekistan,"447,400"
Morocco,"446,550"
Iraq,"438,317"
Paraguay,"406,752"
Zimbabwe,"390,757"
Japan,"377,930"
Germany,"357,114"
Philippines,"342,353"
Congo,"342,000"
Finland,"338,424"
Vietnam,"331,212"
Malaysia,"330,803"
Norway,"323,802"
Cote d'Ivoire,"322,463"
Poland,"312,679"
Oman,"309,500"
Italy,"301,336"
Ecuador,"276,841"
Burkina Faso,"272,967"
New Zealand,"270,467"
Gabon,"267,668"
Western Sahara,"266,000"
Guinea,"245,857"
United Kingdom,"242,900"
Uganda,"241,550"
Ghana,"238,533"
Romania,"238,391"
Laos,"236,800"
Guyana,"214,969"
Belarus,"207,600"
Kyrgyzstan,"199,951"
Senegal,"196,722"
Syria,"185,180"
Cambodia,"181,035"
Uruguay,"181,034"
Suriname,"163,820"
Tunisia,"163,610"
Bangladesh,"147,570"
Nepal,"147,181"
Tajikistan,"143,100"
Greece,"131,990"
Nicaragua,"130,373"
North Korea,"120,538"
Malawi,"118,484"
Eritrea,"117,600"
Benin,"112,622"
Honduras,"112,492"
Liberia,"111,369"
Bulgaria,"110,879"
Cuba,"109,884"
Guatemala,"108,889"
Iceland,"103,000"
South Korea,"100,210"
Hungary,"93,028"
Portugal,"92,090"
Jordan,"89,342"
Serbia,"88,361"
Azerbaijan,"86,600"
Austria,"83,871"
United Arab Emirates,"83,600"
French Guiana,"83,534"
Czechia,"78,865"
Panama,"75,417"
Sierra Leone,"71,740"
Ireland,"70,273"
Georgia,"69,700"
Sri Lanka,"65,610"
Lithuania,"65,300"
Latvia,"64,559"
Togo,"56,785"
Croatia,"56,594"
Bosnia and Herzegovina,"51,209"
Costa Rica,"51,100"
Slovakia,"49,037"
Dominican Republic,"48,671"
Estonia,"45,227"
Denmark,"43,094"
Netherlands,"41,850"
Switzerland,"41,284"
Bhutan,"38,394"
Taiwan,"36,193"
Guinea-Bissau,"36,125"
Moldova,"33,846"
Belgium,"30,528"
Lesotho,"30,355"
Armenia,"29,743"
Solomon Islands,"28,896"
Albania,"28,748"
Equatorial Guinea,"28,051"
Burundi,"27,834"
Haiti,"27,750"
Rwanda,"26,338"
Republic of North Macedonia,"25,713"
Djibouti,"23,200"
Belize,"22,966"
El Salvador,"21,041"
Israel,"20,770"
Slovenia,"20,273"
New Caledonia,"18,575"
Fiji,"18,272"
Kuwait,"17,818"
Eswatini,"17,364"
Timor-Leste,"14,874"
Bahamas,"13,943"
Montenegro,"13,812"
Vanuatu,"12,189"
Falkland Islands,"12,173"
Qatar,"11,586"
Jamaica,"10,991"
Gambia,"10,689"
Lebanon,"10,452"
Cyprus,"9,251"
Puerto Rico,"8,870"
State of Palestine,"6,220"
Brunei Darussalam,"5,765"
Trinidad and Tobago,"5,130"
French Polynesia,"4,167"
Cabo Verde,"4,033"
Samoa,"2,842"
Luxembourg,"2,586"
Réunion,"2,511"
Mauritius,"2,040"
Comoros,"1,862"
Guadeloupe,"1,628"
Faeroe Islands,"1,393"
Martinique,"1,128"
Hong Kong,"1,104"
